FROM_ID,ID_POST,TYPE,NAME,STATUS_TYPE,PUBLISHED_DATE,POST_EXTRACTION_DATE,SAHRES_COUNT,REACTION_LOVE_COUNT,REACTION_LIKE_COUNT,REACTION_TOTAL_COUNT,REACTION_ANGRY_COUNT,REACTION_HAHA_COUNT,REACTION_SAD_COUNT,REACTION_THANKFUL_COUNT,REACTION_WOW_COUNT,FROM_NAME,COMMENTS_COUNT,MESSAGE,LAST_REACTION,ID_PAGE
137846509616746,137846509616746_1177889938945726,photo,Timeline Photos,added_photos,2016-10-08 15:00:02,2016-10-17 14:15:00,32,11,325,336,0,0,0,0,0,LOSC,19,"Avec notre partenaire officiel Boulanger, tentez de gagner vos places de match pour le choc contre le PSG - Paris Saint-Germain! Pour jouer, c'est ici :http://jeux.boulanger.com/happyfanlosc",2016-10-09 16:55:12,137846509616746
137846509616746,137846509616746_1179684282099625,photo,Timeline Photos,added_photos,2016-10-08 10:00:02,2016-10-17 14:15:00,17,11,607,618,0,0,0,0,0,LOSC,9,"Naim Sliti : ""On a senti une equipe lilloise soudee""  Revivez la victoire du LOSC face a Royal Excel Mouscron  [?][?] http://bit.ly/2cZE6Yb [?][?]",2016-10-09 16:45:33,137846509616746
137846509616746,137846509616746_1180262645375122,photo,Timeline Photos,added_photos,2016-10-08 07:37:10,2016-10-17 14:15:00,116,102,1980,2090,0,4,0,0,4,LOSC,44,"[UN DOGUE EN BLEU] Petit clin d'oeil matinal a Sebastien Corchia qui vient d'etre rappele en Equipe de France de Football pour le Pays-Bas-France de lundi (20h45) en remplacement de Bacary Sagna, blesse",2016-10-12 06:12:29,137846509616746
137846509616746,137846509616746_1179731502094903,video,Amical LOSC - Mouscron (3-1) : le resume - video Dailymotion,shared_story,2016-10-07 17:30:00,2016-10-17 14:15:00,21,11,476,489,0,0,1,0,1,LOSC,9,Vous n'etiez pas au Domaine de Luchin cet apres-midi pour LOSC - Royal Excel Mouscron ? Le resume du match est la,2016-10-09 12:45:45,137846509616746
137846509616746,137846509616746_1179683928766327,link,"#LOSCREM (3-1) : Du rythme, des buts...un bon test",shared_story,2016-10-07 15:19:40,2016-10-17 14:15:00,32,16,896,915,0,3,0,0,0,LOSC,15,Le LOSC affrontait Royal Excel Mouscron cet apres-midi en match amical au Domaine de Luchin. Un Dogue en a profite pour inscrire son tout premier but lillois  Decouvrez de qui il s'agit \[?],2016-10-07 15:19:40,137846509616746
137846509616746,137846509616746_1179549972113056,video,"""On va s'en sortir"" - video Dailymotion",shared_story,2016-10-07 10:51:40,2016-10-17 14:15:00,16,2,260,273,5,4,1,0,1,LOSC,24,La situation actuelle du LOSC ? Michel Seydoux en parle sans langue de bois,2016-10-09 12:15:21,137846509616746
137846509616746,137846509616746_1178888175512569,video,Rio Mavuba defie un DVE - video Dailymotion,shared_story,2016-10-06 17:16:00,2016-10-17 14:15:00,76,29,593,631,0,8,0,0,1,LOSC,33,"""Du virage s'elevera... la chanson du kop lillois !"" Mais au fait, qui la lance cette fameuse chanson ?",2016-10-09 21:20:02,137846509616746
137846509616746,137846509616746_1178676435533743,link,Coup de projecteur sur des U17 en feu !,shared_story,2016-10-06 15:00:01,2016-10-17 14:15:00,22,7,437,448,0,0,0,0,4,LOSC,8,"6 matchs, 5 victoires, 22 buts marques et une premiere place meritee d'un groupe (pourtant releve). En ce debut de saison, les U17 lillois carburent   On en parle ici \[?]",2016-10-07 09:18:22,137846509616746
137846509616746,137846509616746_1178718242196229,video,Quand foot rime avec golf et business - video Dailymotion,shared_story,2016-10-06 10:09:34,2016-10-17 14:15:00,8,1,126,127,0,0,0,0,0,LOSC,3,"Vous adorez le foot [?] Vous appreciez le golf [?]  Alors vous aimerez probablement le FootGolf France, a l'image des partenaires du LOSC. Regardez...",2016-10-06 12:12:51,137846509616746
137846509616746,137846509616746_1176744712393582,photo,Timeline Photos,added_photos,2016-10-05 17:00:03,2016-10-17 14:15:00,6,0,107,111,0,1,0,0,3,LOSC,2,"Notre partenaire Vacansoleil France offre en exclu aux supporters du LOSC 10 % de reduction sur leur prochain sejour au Parc Le Chene Gris, un camping a seulement 15 minutes de Disneyland(r)Paris !   Toutes les infos ici >> http://bit.ly/2cOQzTw",2016-10-06 20:15:56,137846509616746
